Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
gAAAAABkUtGLcK9sw1XNlVDyHCL1yT7h584ajoekv_mHcdrpd7BQKjgwQphVPUEzRW-dj40xoO0HxCHtOOpvE4x87ApJe4KkEg==,gAAAAABkUtGLcUoQIsBnI8YPTHm8urvRPyALrD_diUAw9-cVVD4zHrZkZN6K2iMj-Qq9Ie0SwA3G3JGH01kHvcuIz9jSfsJ-jA==,English writer and humorist,Male,United Kingdom,Artist,1952,2001,natural causes,49
gAAAAABkUtGLVVyjprSap8rMTK0RTGt9QiQKRZLoMMxNIsv1sPpJYDtD8za5wWYTkpT4VvthD5jQRlRW4uU3bTooQO8foP491A==,gAAAAABkUtGL4kSNjdwlzdLHUmLCjdpDbamyS2o_fXk6Pg0e41gh2fMkDBZlCXKUK_6a0oQBVRQndPhR4OJckWkCCctZ7pzqtA==,16th president of the United States (1809-1865),Male,United States of America,Politician,1809,1865,homicide,56
gAAAAABkUtGMLVtR_4AVLp9Dx6voDsn7jgWvaaPpXDIs1Dg3nYXuO17Z9FOtU2OXx4pylpbQ13vBgOSbzWJcM3lzLjm06TMung==,gAAAAABkUtGMApgZxmsbiHtTAfHX6-hav2jJzQn8SwmRL24zJ_YcQtxu-SagCJ4w56u8RRZ9tDKUzs8EdENwRlw8Zsk_T1eFmQ==,French impressionist painter (1840-1926),Male,France,Artist,1840,1926,natural causes,86
gAAAAABkUtGMniPSAKzgodlvoPc2gQYhuIpm305jRbEWnGl7U7tkY8usvUSnHq9Y2sxonI7hk-qSPf0ctGyi37jgk3vlc5sKyQ==,gAAAAABkUtGMZMOhfNFGHySAbVh4tgU43x0Xo4Ex-E7V6G92KSVNAzw2xX5ntYuWCbguPiT2g3S0Og0_W5I4eH4BIHTSRG5Cng==,American singer and actor (1935–1977),Male,United States of America,Artist,1935,1977,natural causes,42
gAAAAABkUtGMmr8RIdjTjgywhZiK7uacoHxyHu8d-7Np3wO2P0b3ZKpZ_OoSDtlnwrhD3oSDLvM-F6u3nUGMPBtAG22mRlc08w==,gAAAAABkUtGMtIBCxznBpIqzHSYHUNJKGyW_Md4dPxq1_ZPHEKSxRJsLIP7ThZzdhAjIR7jMlTnbUeFtDuf1p7v1Hj1sZD6xKQ==,"Austrian-born German politician, chancellor and Führer of Germany, leader of the Nazi Party (1889-1945)",Male,Nazi Germany; Austria-Hungary; Weimar Republic; Republic of German-Austria; First Republic of Austria,Statesperson,1889,1945,suicide,56
gAAAAABkUtGMXexp62gCzPvExOGQ6vrCeU3BKsTHONuJoMCBdxzIWky-y6V4PQhYAmoW59EdNy8Ke-34THGcmTiN_buK9TB3xg==,gAAAAABkUtGMqkmlWNJs95VOWxIE_2fgTNXFbJ3iUvmOdxifOCkNPpJfKqVrZA-dPvRncVFEd-NYy42ITghhGXED1vxQpfBjUBf6ra_-FsBiPhJC8eSQmQI=,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006,natural causes,91
gAAAAABkUtGMrhUfVVJizLdgXlxfp8wYoLBFTV1hhMmPMG1vnx7UtGL-soLBMYw2EFEFkF1sd-i-BqzWl76QUiUt2FQftRMEig==,gAAAAABkUtGMGbKBeZHeQA5Uu4UXZr3r3_GV0VWW7Bu9_Z42Gb8TS2gPwHawp8DwKLDP5JdJeFA-Vyx1s1j4E0HAgd7HqTwCZQ==,"American pornographic actress, later anti-porn activist",Female,United States of America,Artist,1949,2002,accident,53
gAAAAABkUtGM_I7JKqQJcieEiDHZbhGsfQHNG_OaRyjzb6br6hU4Cy4mx0Xz7HpRYPXcLXzXgjBiO_tavlVmq_Kk-GbE9mo62Q==,gAAAAABkUtGMW8RNSZnMmu21bBVIKlqVaJkYOl6-hIMZoYeqxGzrPOxDt-igLVAxboY47bWOMVkFTuQCf3rhS55cZz6VVSfnCA==,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981,natural causes,36
gAAAAABkUtGMkPNLkOxG5ANdee5rEwq33REetLeJjuDE9iidRZdis4gCMmXR_RqVz_DgHVlR8O4WmljoO7RpdilMXVwmLphgXw==,gAAAAABkUtGMUkJoRvKhQ0B4UOAmo7dQD9h7sAShbXVDGvGZHV2pdE6_WtY0ASouC_J31V89yLcLyruv5KTsXrnw8cMcVcUwYw==,"American astrophysicist, cosmologist, author and science educator",Male,United States of America,Researcher,1934,1996,natural causes,62
gAAAAABkUtGNhKnOgDA6f-bs3P3GCJ_nNeiyyQLYkdHbpfTtKXlIJAULVDnWQMjtptjBv4FjKMMgJhTDP0dWy1it4ZWwhJlofA==,gAAAAABkUtGN9S_GFw979pt0_d2dlwWzqhQf3AcgI5y_jfN8SFXqCt6PIYuctGX_hSrrPi1EyLRGTtnMwlvYFEPsGMZjFGiGKw4LucrxKsPhghwEegq-IhM=,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973,suicide,65
