,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
1,Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,Artist,1952,2001,natural causes,49
2,Q91,Abraham Lincoln,16th president of the United States (1809-1865),Male,United States,Politician,1809,1865,homicide,56
7,Q296,Claude Monet,French impressionist painter (1840-1926),Male,France,Artist,1840,1926,natural causes,86
10,Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States,Artist,1935,1977,natural causes,42
14,Q352,Adolf Hitler,"Austrian-born German politician, chancellor and Führer of Germany, leader of the  Party (1889-1945)",Male, Germany,Statesperson,1889,1945,suicide,56
17,Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,Politician,1915,2006,natural causes,91
20,Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States,Artist,1949,2002,accident,53
21,Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,Artist,1945,1981,natural causes,36
22,Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States,Researcher,1934,1996,natural causes,62
23,Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,Politician,1908,1973,suicide,65
25,Q449,Georges Brassens,French singer-songwriter and poet,Male,France,Artist,1921,1981,natural causes,60
27,Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,Politician,1911,1982,homicide,71
28,Q493,Arthur Rimbaud,"19th century French poet who influenced modern literature and arts, and prefigured surrealism",Male,France,Artist,1854,1891,natural causes,37
30,Q501,Charles Baudelaire,"French poet, essayist and art critic (1821-1867)",Male,France,Artist,1821,1867,natural causes,46
32,Q504,Émile Zola,French writer,Male,France,Artist,1840,1902,accident,62
33,Q512,Vladimir Vysotsky," singer, songwriter, poet and actor",Male,Russia,Artist,1938,1980,natural causes,42
35,Q529,Louis Pasteur,French chemist and microbiologist,Male,France,Researcher,1822,1895,natural causes,73
37,Q539,Giuseppe Garibaldi,"Italian general, patriot and republican (1807-1882)",Male,France,Artist,1807,1882,natural causes,75
44,Q632,Jean Moulin,French resistance fighter and civil servant,Male,France,Official; french resistance fighter,1899,1943,homicide,44
54,Q755,Paul Verlaine,French poet,Male,France,Artist,1844,1896,natural causes,52
59,Q820,Juan Antonio Rios,Chilean politician and President (1888-1946),Male,Chile,Politician,1888,1946,natural causes,58
60,Q835,Mikhail Bulgakov,Russian author,Male,Russia,Artist,1891,1940,natural causes,49
62,Q845,Pedro Aguirre Cerda,Chilean politician and President (1879-1941),Male,Chile,Politician,1879,1941,natural causes,62
63,Q848,Arturo Alessandri,Chilean politician and President,Male,Chile,Politician,1868,1950,natural causes,82
65,Q853,Andrei Tarkovsky," and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Russia,Artist,1932,1986,natural causes,54
66,Q855,Joseph Stalin," politician, general secretary of the Communist Party of the Russia and premier of the Russia (1878-1953)",Male,Russia,Politician,1879,1953,natural causes,74
69,Q862,Joseph Brodsky,Russian-American poet,Male,United States,Artist,1940,1996,natural causes,56
71,Q882,Charlie Chaplin,British comic actor and filmmaker (1889-1977),Male,United Kingdom,Artist,1889,1977,natural causes,88
72,Q885,Józef Piłsudski,"Polish politician, First Marshall and Prime Minister (1867-1935)",Male,Poland,Politician,1867,1935,natural causes,68
75,Q909,Jorge Luis Borges,"Argentine short story writer, essayist, poet and translator (1899-1986)",Male,Argentina,Researcher,1899,1986,natural causes,87
78,Q926,Roald Amundsen,Norwegian explorer; first person to reach the South Pole,Male,Norway,Researcher,1872,1928,accident,56
79,Q927,Harry Mulisch,Dutch writer,Male,Netherlands,Artist,1927,2010,natural causes,83
82,Q937,Albert Einstein,German-born theoretical physicist; developer of the theory of relativity (1879–1955),Male,United States,Researcher,1879,1955,natural causes,76
84,Q949,John Bardeen,American physicist and engineer,Male,United States,Researcher,1908,1991,natural causes,83
86,Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,Researcher,1920,2005,natural causes,85
88,Q997,Andrei Sakharov, nuclear physicist and human rights activist,Male,Russia,Researcher,1921,1989,natural causes,68
