Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States,[1930-1960],[1960-1990],natural causes,[16-44]
Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,[1900-1930],[1990-2019],natural causes,[72-99]
Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States,[1930-1960],[1990-2019],accident,[44-72]
Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,[1930-1960],[1960-1990],natural causes,[16-44]
Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,[1900-1930],[1960-1990],suicide,[44-72]
Q449,Georges Brassens,French singer songwriter and poet,Male,France,[1900-1930],[1960-1990],natural causes,[44-72]
Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,[1900-1930],[1960-1990],homicide,[44-72]
Q512,Vladimir Vysotsky," singer, songwriter, poet and actor",Male,Russia,[1930-1960],[1960-1990],natural causes,[16-44]
Q853,Andrei Tarkovsky," and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Russia,[1930-1960],[1960-1990],natural causes,[44-72]
Q862,Joseph Brodsky,Russian-American poet,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q927,Harry Mulisch,Dutch writer,Male,Netherlands,[1900-1930],[1990-2019],natural causes,[72-99]
Q949,John Bardeen,American physicist and engineer,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,[1900-1930],[1990-2019],natural causes,[72-99]
Q997,Andrei Sakharov,nuclear physicist and human rights activist,Male,Russia,[1900-1930],[1960-1990],natural causes,[44-72]
Q1149,Indira Gandhi,Indian Prime Minister and politician (1917-1984),Female,India,[1900-1930],[1960-1990],homicide,[44-72]
Q1203,John Lennon,"English singer and songwriter, founding member of The Beatles (1940-1980)",Male,United Kingdom,[1930-1960],[1960-1990],homicide,[16-44]
Q1224,Carlo Azeglio Ciampi,10th President of Italy,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),Male,Ghana,[1930-1960],[1990-2019],natural causes,[72-99]
Q1257,Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,[1900-1930],[1990-2019],accident,[72-99]
Q1260,Kurt Waldheim,"4th Secretary-General of the United Nations, President of Austria (1918-2007)",Male,Austria,[1900-1930],[1990-2019],natural causes,[72-99]
Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,[1900-1930],[1960-1990],accident,[44-72]
Q1276,Leonard Cohen,Canadian poet and singer songwriter,Male,Canada,[1930-1960],[1990-2019],accident,[72-99]
Q1316,Saddam Hussein,Iraqi politician and President,Male,Iraq,[1930-1960],[1990-2019],capital punishment,[44-72]
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,Male,Saudi Arabia,[1930-1960],[1990-2019],death in battle,[44-72]
Q1381,Dave Arneson,American game designer,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,[1900-1930],[1960-1990],natural causes,[72-99]
Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,[1930-1960],[1990-2019],natural causes,[72-99]
Q1514,Janis Joplin,American singer and songwriter,Female,United States,[1930-1960],[1960-1990],accident,[16-44]
Q1615,Neil Armstrong,American astronaut and the first human to walk on the moon,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q1631,Édith Piaf,French singer,Female,France,[1900-1930],[1960-1990],natural causes,[44-72]
Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy,[1900-1930],[1990-2019],natural causes,[72-99]
Q1646,Françoise Sagan,French writer,Female,France,[1930-1960],[1990-2019],natural causes,[44-72]
Q1666,Jacques Brel,Belgian singer songwriter,Male,Belgium,[1900-1930],[1960-1990],natural causes,[44-72]
Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,[1900-1930],[1990-2019],natural causes,[44-72]
Q1768,Ella Fitzgerald,American jazz singer,Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q1775,Brownie Mary,American medical cannabis activist,Female,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q1802,Daniel Balavoine,French recording artist singer songwriter,Male,France,[1930-1960],[1960-1990],accident,[16-44]
Q2001,Stanley Kubrick,American filmmaker,Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q2022,Cesare Pavese,Italian poet novelist literary critic and translator,Male,Italy,[1900-1930],[1930-1960],suicide,[16-44]
Q2038,François Mitterrand,21st President of the French Republic (1916-1996),Male,France,[1900-1930],[1990-2019],natural causes,[72-99]
Q2040,Giuseppe Farina,Italian racecar driver,Male,Italy,[1900-1930],[1960-1990],accident,[44-72]
Q2104,Mike Hawthorn,British racing driver,Male,United Kingdom,[1900-1930],[1930-1960],accident,[16-44]
Q2105,Jacques Chirac,French statesman and official (1932–2019),Male,France,[1930-1960],[1990-2019],natural causes,[72-99]
Q2125,Jack Brabham,Australian racing driver,Male,Australia,[1900-1930],[1990-2019],natural causes,[72-99]
Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,[1900-1930],[1960-1990],natural causes,[44-72]
Q2190,Coluche,French comedian and actor,Male,France,[1930-1960],[1960-1990],accident,[16-44]
Q2196,Pierre Desproges,French humorist,Male,France,[1930-1960],[1960-1990],natural causes,[44-72]
Q2274,Chet Baker,American jazz trumpeter and vocalist (1929-1988),Male,United States,[1900-1930],[1960-1990],accident,[44-72]
